UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q5KSL6,DGKK,Diacylglycerol kinase kappa,,"saliva: 44/3.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86XP1,DGKH,Diacylglycerol kinase eta,,"saliva: 130/8.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,7.7
P55039,DRG2,Developmentally-regulated GTP-binding protein 2,,"saliva: 2/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,21.7
P15924,DSP,Desmoplakin,,"saliva: 95/1.32 peptides
parotid gland: 66/0.12 peptides
sm/sl glands: 19/0.09 peptides",low,25.6
P32926,DSG3,Desmoglein-3,,"saliva: 2291/199.17 peptides
parotid gland: 185/5.15 peptides
sm/sl glands: 54/3.15 peptides",not detected,10.6
Q14126,DSG2,Desmoglein-2,,"saliva: 9/0.87 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,27.3
Q02413,DSG1,Desmoglein-1,,"saliva: 1472/134.09 peptides
parotid gland: 123/3.6 peptides
sm/sl glands: 43/3.05 peptides",not detected,4.2
Q14574,DSC3,Desmocollin-3,,"saliva: 19/1.81 peptides
parotid gland: 4/0.04 peptides
sm/sl glands: 0/0 peptides",not detected,7.2
Q02487,DSC2,Desmocollin-2,,"saliva: 3298/272.89 peptides
parotid gland: 104/2.68 peptides
sm/sl glands: 36/2.07 peptides",medium,22.4
Q08554,DSC1,Desmocollin-1,,"saliva: 2/0.2 peptides
parotid gland: 7/0.07 peptides
sm/sl glands: 3/0.08 peptides",not detected,1.2
P17661,DES,Desmin,,"saliva: 122/17.54 peptides
parotid gland: 2/0.07 peptides
sm/sl glands: 2/0.93 peptides",not detected,11.9
Q6E0U4,DMKN,Dermokine,,"saliva: 56/13.96 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,8.2
P81605,DCD,Dermcidin,,"saliva: 9/0.96 peptides
parotid gland: 20/3.56 peptides
sm/sl glands: 17/10.77 peptides",not detected,4.6
Q8WUY9,DEPDC1B,DEP domain-containing protein 1B,,"saliva: 118/17.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.3
Q5TB30,DEPDC1,DEP domain-containing protein 1A,,"saliva: 30/2.96 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.3
O00115,DNASE2,Deoxyribonuclease-2-alpha,,"saliva: 0/0 peptides
parotid gland: 2/0.07 peptides
sm/sl glands: 0/0 peptides",low,24.9
Q9Y3Z3,SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,,"saliva: 107/15.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,14.7
Q9NZJ0,DTL,Denticleless protein homolog,,"saliva: 137/15.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.1
Q8TEH3,DENND1A,DENN domain-containing protein 1A,,"saliva: 3/0.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,8.5
P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.09 peptides",n/a,n/a
O76062,TM7SF2,Delta(14)-sterol reductase TM7SF2,,"saliva: 5/1.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,28.5
Q14739,LBR,Delta(14)-sterol reductase LBR,,"saliva: 11/1.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor,,"saliva: 0/0 peptides
parotid gland: 8/0.16 peptides
sm/sl glands: 4/0.21 peptides",not detected,46.1
Q9UGM3,DMBT1,Deleted in malignant brain tumors 1 protein,,"saliva: 6683/318.73 peptides
parotid gland: 2035/72.27 peptides
sm/sl glands: 873/63.64 peptides",medium,130
Q9Y238,DLEC1,Deleted in lung and esophageal cancer protein 1,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.03 peptides",not detected,0.6
Q96N67,DOCK7,Dedicator of cytokinesis protein 7,,"saliva: 97/3.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,11.9
Q9H7D0,DOCK5,Dedicator of cytokinesis protein 5,,"saliva: 127/4.83 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,7.9
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4,,"saliva: 5/0.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,4.4
Q8IZD9,DOCK3,Dedicator of cytokinesis protein 3,,"saliva: 17/0.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.2
Q92608,DOCK2,Dedicator of cytokinesis protein 2,,"saliva: 361/14.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.6
Q5JSL3,DOCK11,Dedicator of cytokinesis protein 11,,"saliva: 82/3.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4.4
Q14185,DOCK1,Dedicator of cytokinesis protein 1,,"saliva: 6/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15.4
Q9BTC0,DIDO1,Death-inducer obliterator 1,,"saliva: 16/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,26.3
Q5VU92,DCAF12L1,DDB1- and CUL4-associated factor 12-like protein 1,,"saliva: 22/4.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,0.1
Q9H773,DCTPP1,dCTP pyrophosphatase 1,,"saliva: 108/51.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.5
Q8NEU8,APPL2,DCC-interacting protein 13-beta,,"saliva: 29/4.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,15.1
Q9NYF0,DACT1,Dapper homolog 1,,"saliva: 215/18.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,2.9
Q5M775,SPECC1,Cytospin-B,,"saliva: 69/4.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,5.9
Q69YQ0,SPECC1L,Cytospin-A,,"saliva: 10/0.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,16.8
P49902,NT5C2,Cytosolic purine 5'-nucleotidase,,"saliva: 350/42.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,67.2
Q8NDL9,AGBL5,Cytosolic carboxypeptidase-like protein 5,,"saliva: 2/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8.2
Q5U5Z8,AGBL2,Cytosolic carboxypeptidase 2,,"saliva: 428/30.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,1.1
O75891,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,,"saliva: 14/1.47 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,34.1
Q14008,CKAP5,Cytoskeleton-associated protein 5,,"saliva: 30/1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8.7
Q8IYA6,CKAP2L,Cytoskeleton-associated protein 2-like,,"saliva: 8/0.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,1
P51813,BMX,Cytoplasmic tyrosine-protein kinase BMX,,"saliva: 3/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.5
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2,,"saliva: 50/3.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,2.2
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,,"saliva: 581/29.91 peptides
parotid gland: 1/0.02 peptides
sm/sl glands: 0/0 peptides",low,9.6
Q8NCM8,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1,,"saliva: 234/3.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,4.5
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,,"saliva: 1158/17.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,18
Q86W10,CYP4Z1,Cytochrome P450 4Z1,,"saliva: 2/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.5
Q6NT55,CYP4F22,Cytochrome P450 4F22,,"saliva: 4/0.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.6
Q9HBI6,CYP4F11,Cytochrome P450 4F11,,"saliva: 5/0.88 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.6
P20813,CYP2B6,Cytochrome P450 2B6,,"saliva: 14/3.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NR63,CYP26B1,Cytochrome P450 26B1,,"saliva: 2/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,5.1
O43174,CYP26A1,Cytochrome P450 26A1,,"saliva: 2/0.28 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P99999,CYCS,Cytochrome c,,"saliva: 322/121.14 peptides
parotid gland: 22/4.29 peptides
sm/sl glands: 15/8.16 peptides",high,14.9
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",,"saliva: 46/10.57 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",medium,22.1
P32320,CDA,Cytidine deaminase,,"saliva: 385/217.51 peptides
parotid gland: 38/7.69 peptides
sm/sl glands: 3/0.47 peptides",not detected,6.9
Q9H336,CRISPLD1,Cysteine-rich secretory protein LCCL domain-containing 1,,"saliva: 0/0 peptides
parotid gland: 2/0.03 peptides
sm/sl glands: 0/0 peptides",high,15.1
P54108,CRISP3,Cysteine-rich secretory protein 3,,"saliva: 1451/498.26 peptides
parotid gland: 42/4.65 peptides
sm/sl glands: 516/193.89 peptides",high,233.3
Q96DT6,ATG4C,Cysteine protease ATG4C,,"saliva: 3/0.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,10.8
Q9Y697,NFS1,"Cysteine desulfurase, mitochondrial",,"saliva: 21/4.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,12.6
P01037,CST1,Cystatin-SN,,"saliva: 24210/9780.53 peptides
parotid gland: 592/142.14 peptides
sm/sl glands: 6964/7420.58 peptides",medium,704.2
P09228,CST2,Cystatin-SA,,"saliva: 15682/7180.04 peptides
parotid gland: 1221/403.7 peptides
sm/sl glands: 4077/4305.85 peptides",high,1538.3
P01036,CST4,Cystatin-S,,"saliva: 30330/16023.07 peptides
parotid gland: 626/231.75 peptides
sm/sl glands: 6773/8950.85 peptides",high,705.3
P28325,CST5,Cystatin-D,,"saliva: 1761/1007.85 peptides
parotid gland: 530/193.82 peptides
sm/sl glands: 780/707.77 peptides",medium,1065.3
P01034,CST3,Cystatin-C,,"saliva: 1322/605.28 peptides
parotid gland: 218/54.43 peptides
sm/sl glands: 445/282.96 peptides",high,338.2
P04080,CSTB,Cystatin-B,,"saliva: 3014/2069.95 peptides
parotid gland: 576/205.01 peptides
sm/sl glands: 356/298.48 peptides",not detected,65.2
P01040,CSTA,Cystatin-A,,"saliva: 949/589.74 peptides
parotid gland: 286/63.7 peptides
sm/sl glands: 132/83.41 peptides",not detected,57.4
P35663,CYLC1,Cylicin-1,,"saliva: 9/0.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14976,GAK,Cyclin-G-associated kinase,,"saliva: 161/13.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,33.8
P41002,CCNF,Cyclin-F,,"saliva: 2/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.2
O76039,CDKL5,Cyclin-dependent kinase-like 5,,"saliva: 72/4.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,3.9
P50750,CDK9,Cyclin-dependent kinase 9,,"saliva: 8/1.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,20.6
Q13319,CDK5R2,Cyclin-dependent kinase 5 activator 2,,"saliva: 6/1.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.2
Q9BWU1,CDK19,Cyclin-dependent kinase 19,,"saliva: 2/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4.5
Q07002,CDK18,Cyclin-dependent kinase 18,,"saliva: 44/6.73 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,16.5
O94921,CDK14,Cyclin-dependent kinase 14,,"saliva: 7/1.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,7.7
Q96BA8,CREB3L1,Cyclic AMP-responsive element-binding protein 3-like protein 1,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.11 peptides",not detected,28.3
Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta,,"saliva: 25/3.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,16.2
Q8IWT3,CUL9,Cullin-9,,"saliva: 10/0.44 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,8.7
Q14999,CUL7,Cullin-7,,"saliva: 31/1.9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,9.2
Q93034,CUL5,Cullin-5,,"saliva: 38/2.98 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,11.4
Q13618,CUL3,Cullin-3,,"saliva: 7/0.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,19.1
Q13616,CUL1,Cullin-1,,"saliva: 2/0.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,19.6
O60494,CUBN,Cubilin,,"saliva: 181/7.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96PZ7,CSMD1,CUB and sushi domain-containing protein 1,,"saliva: 9/0.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.7
Q9P2B4,CTTNBP2NL,CTTNBP2 N-terminal-like protein,,"saliva: 15/1.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,10.8
Q9H668,STN 1,CST complex subunit STN1,,"saliva: 10/2.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,17.2
Q2NKJ3,CTC1,CST complex subunit CTC1,,"saliva: 39/3.35 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,11
Q96AY2,EME1,Crossover junction endonuclease EME1,,"saliva: 7/0.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,0.2
Q9BZJ0,CRNKL1,Crooked neck-like protein 1,,"saliva: 36/2.77 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,16.9
P12532,CKMT1A;CKMT1B,"Creatine kinase U-type, mitochondrial",,"saliva: 114/18.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P08185,SERPINA6,Corticosteroid-binding globulin,,"saliva: 0/0 peptides
parotid gland: 2/2.37 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P06850,CRH,Corticoliberin,,"saliva: 2/1.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8WZ74,CTTNBP2,Cortactin-binding protein 2,,"saliva: 36/1.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,5.2
Q9UQ03,CORO2B,Coronin-2B,,"saliva: 41/5.87 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.4
Q9ULV4,CORO1C,Coronin-1C,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.11 peptides",high,13.5
P31146,CORO1A,Coronin-1A,,"saliva: 694/82.01 peptides
parotid gland: 3/0.04 peptides
sm/sl glands: 9/0.32 peptides",not detected,12.3
Q9UBG3,CRNN,Cornulin,,"saliva: 3133/500.39 peptides
parotid gland: 826/47.06 peptides
sm/sl glands: 417/70.46 peptides",not detected,49.6
P22528,SPRR1B,Cornifin-B,,"saliva: 875/580.84 peptides
parotid gland: 151/31.76 peptides
sm/sl glands: 95/53.83 peptides",?,48.7
P35321,SPRR1A,Cornifin-A,,"saliva: 1185/759.88 peptides
parotid gland: 170/35.76 peptides
sm/sl glands: 98/55.53 peptides",not detected,52.5
Q15517,CDSN,Corneodesmosin,,"saliva: 0/0 peptides
parotid gland: 3/0.12 peptides
sm/sl glands: 2/0.22 peptides",n/a,n/a
Q53SF7,COBLL1,Cordon-bleu protein-like 1,,"saliva: 270/22.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,8
O75131,CPNE3,Copine-3,,"saliva: 9/1.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,20.6
Q9BT78,COPS4,COP9 signalosome complex subunit 4,,"saliva: 3/0.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,14.1
Q9C0A0,CNTNAP4,Contactin-associated protein-like 4,,"saliva: 3/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.9
Q9UHC6,CNTNAP2,Contactin-associated protein-like 2,,"saliva: 6/0.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.9
O94779,CNTN5,Contactin-5,,"saliva: 248/23.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,28.4
Q9P232,CNTN3,Contactin-3,,"saliva: 37/3.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q12860,CNTN1,Contactin-1,,"saliva: 4/0.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3.8
Q96EK7,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma,,"saliva: 36/4.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,21.4
Q9H9E3,COG4,Conserved oligomeric Golgi complex subunit 4,,"saliva: 4/0.42 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,13.7
Q96JB2,COG3,Conserved oligomeric Golgi complex subunit 3,,"saliva: 231/26.53 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,28.3
Q8WTW3,COG1,Conserved oligomeric Golgi complex subunit 1,,"saliva: 67/6.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8WXI2,CNKSR2,Connector enhancer of kinase suppressor of ras 2,,"saliva: 161/12.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.7
Q86XI2,NCAPG2,Condensin-2 complex subunit G2,,"saliva: 18/1.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,5.3
P42695,NCAPD3,Condensin-2 complex subunit D3,,"saliva: 181/9.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,6
Q9BPX3,NCAPG,Condensin complex subunit 3,,"saliva: 4/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,1.6
Q15003,NCAPH,Condensin complex subunit 2,,"saliva: 23/3.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.9
Q15021,NCAPD2,Condensin complex subunit 1,,"saliva: 13/0.8 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,10.5
P08603,CFH,Complement factor H,,"saliva: 1/0.21 peptides
parotid gland: 5/0.04 peptides
sm/sl glands: 8/0.14 peptides",not detected,19
P00751,CFB,Complement factor B,,"saliva: 283/26.09 peptides
parotid gland: 12/0.12 peptides
sm/sl glands: 13/0.33 peptides",not detected,3.1
P08174,CD55,Complement decay-accelerating factor,,"saliva: 27/7.24 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",medium,82.3
P01031,C5,Complement C5,,"saliva: 4/0.2 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P0C0L5,C4B;C4B_2,Complement C4-B,,"saliva: 448/23 peptides
parotid gland: 4/0.34 peptides
sm/sl glands: 23/0.28 peptides",not detected,2
P0C0L4,EntrezGene:720;EntrezGene:721,Complement C4-A,,"saliva: 278/14.47 peptides
parotid gland: 4/0.36 peptides
sm/sl glands: 0/0 peptides",not detected,1.3
P01024,C3,Complement C3,,"saliva: 6989/259.45 peptides
parotid gland: 204/2.71 peptides
sm/sl glands: 108/3.37 peptides",not detected,18.7
P06681,C2,Complement C2,,"saliva: 18/2.36 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.4
P09871,C1S,Complement C1s subcomponent,,"saliva: 3/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,14.6
Q9BXJ4,C1QTNF3,Complement C1q tumor necrosis factor-related protein 3,,"saliva: 0/0 peptides
parotid gland: 6/0.42 peptides
sm/sl glands: 2/0.14 peptides",?,171.5
P23508,MCC,Colorectal mutant cancer protein,,"saliva: 2/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,6.7
A6NMZ7,COL6A6,Collagen alpha-6(VI) chain,,"saliva: 4/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.2
A8TX70,COL6A5,Collagen alpha-5(VI) chain,,"saliva: 30/0.93 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P12111,COL6A3,Collagen alpha-3(VI) chain,,"saliva: 53/1.56 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.02 peptides",not detected,17.1
Q14050,COL9A3,Collagen alpha-3(IX) chain,,"saliva: 0/0 peptides
parotid gland: 5/0.08 peptides
sm/sl glands: 0/0 peptides",not detected,38.9
Q01955,COL4A3,Collagen alpha-3(IV) chain,,"saliva: 7/0.49 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.1
P12110,COL6A2,Collagen alpha-2(VI) chain,,"saliva: 0/0 peptides
parotid gland: 4/0.23 peptides
sm/sl glands: 3/0.07 peptides",not detected,33.4
P08123,COL1A2,Collagen alpha-2(I) chain,,"saliva: 79/4.61 peptides
parotid gland: 4/0.03 peptides
sm/sl glands: 0/0 peptides",medium,17.5
Q2UY09,COL28A1,Collagen alpha-1(XXVIII) chain,,"saliva: 3/0.37 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,19.3
Q8IZC6,COL27A1,Collagen alpha-1(XXVII) chain,,"saliva: 4/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,4.1
Q17RW2,COL24A1,Collagen alpha-1(XXIV) chain,,"saliva: 8/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.2
Q86Y22,COL23A1,Collagen alpha-1(XXIII) chain,,"saliva: 8/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,1.7
Q96P44,COL21A1,Collagen alpha-1(XXI) chain,,"saliva: 159/14.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 7/6.73 peptides",?,4.4
P39060,COL18A1,Collagen alpha-1(XVIII) chain,,"saliva: 8/0.62 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 0/0 peptides",medium,8.8
Q14993,COL19A1,Collagen alpha-1(XIX) chain,,"saliva: 4/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.8
Q05707,COL14A1,Collagen alpha-1(XIV) chain,,"saliva: 33/0.9 peptides
parotid gland: 0/0 peptides
sm/sl glands: 61/1.92 peptides",not detected,21.8
Q99715,COL12A1,Collagen alpha-1(XII) chain,,"saliva: 185/5.55 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,5.9
P12107,COL11A1,Collagen alpha-1(XI) chain,,"saliva: 47/2.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,3.3
P12109,COL6A1,Collagen alpha-1(VI) chain,,"saliva: 279/23.52 peptides
parotid gland: 34/1.08 peptides
sm/sl glands: 17/0.6 peptides",not detected,23.1
P20908,COL5A1,Collagen alpha-1(V) chain,,"saliva: 28/1.51 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,5.1
P20849,COL9A1,Collagen alpha-1(IX) chain,,"saliva: 23/1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,3
P02462,COL4A1,Collagen alpha-1(IV) chain,,"saliva: 4/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,5.9
P02452,COL1A1,Collagen alpha-1(I) chain,,"saliva: 23/1.37 peptides
parotid gland: 2/0.01 peptides
sm/sl glands: 0/0 peptides",medium,9.1
Q2M329,CCDC96,Coiled-coil domain-containing protein 96,,"saliva: 4/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,0.9
Q6ZN84,CCDC81,Coiled-coil domain-containing protein 81,,"saliva: 2/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0W5,CCDC8,Coiled-coil domain-containing protein 8,,"saliva: 17/1.94 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,8.7
Q6P9F0,CCDC62,Coiled-coil domain-containing protein 62,,"saliva: 3/0.32 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q16204,CCDC6,Coiled-coil domain-containing protein 6,,"saliva: 12/1.62 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,25.5
Q2TAC2,CCDC57,Coiled-coil domain-containing protein 57,,"saliva: 71/4.63 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",high,13.6
Q4G0X9,CCDC40,Coiled-coil domain-containing protein 40,,"saliva: 6/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2.5
Q9UFE4,CCDC39,Coiled-coil domain-containing protein 39,,"saliva: 5/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.6
Q502W7,CCDC38,Coiled-coil domain-containing protein 38,,"saliva: 4/0.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,,"saliva: 60/15.39 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,14.1
Q9P1Z9,CCDC180,Coiled-coil domain-containing protein 180,,"saliva: 403/16.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,0.7
Q5T9S5,CCDC18,Coiled-coil domain-containing protein 18,,"saliva: 146/5.81 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,2
