UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
A0A109QYD2,A0A109QYD2_PEA,unreviewed,RMS3,RMS3,Pisum sativum subsp. sativum,240,,,,
G8YZL5,G8YZL5_PEA,unreviewed,Histone H1 subtype 5,his5,Pisum sativum subsp. sativum,256,,,,
A0A385JEF0,A0A385JEF0_PEA,unreviewed,"50S ribosomal protein L16, chloroplastic",rpl16,Pisum sativum subsp. sativum,136,,,,
A0A385JEW6,A0A385JEW6_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. sativum,1827,,,,
A0A385JF30,A0A385JF30_PEA,unreviewed,Protein PsbN,psbN,Pisum sativum subsp. sativum,43,,A0A385JF30;,,
A0A385JEE8,A0A385JEE8_PEA,unreviewed,Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein),psbD,Pisum sativum subsp. sativum,353,,A0A385JEE8;,,
A0A385JEH8,A0A385JEH8_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 4L) (NADH-plastoquinone oxidoreductase subunit 4L)",ndhE,Pisum sativum subsp. sativum,101,,,,
A0A6M3QIS9,A0A6M3QIS9_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A0D5W3E1,A0A0D5W3E1_PEA,unreviewed,Ethylene insensitive 2,,Pisum sativum subsp. sativum,1306,,,,
B0BCJ3,B0BCJ3_PEA,unreviewed,Convicilin (Fragment),cvc,Pisum sativum subsp. sativum,511,,,,
A0A385JEH3,A0A385JEH3_PEA,unreviewed,Photosystem II reaction center protein H (PSII-H),psbH,Pisum sativum subsp. sativum,73,,,,
A0A6M3QVX4,A0A6M3QVX4_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A385JEI0,A0A385JEI0_PEA,unreviewed,"ATP synthase subunit a, chloroplastic (ATP synthase F0 sector subunit a) (F-ATPase subunit IV)",atpI,Pisum sativum subsp. sativum,247,,,,
A0A385JFZ2,A0A385JFZ2_PEA,unreviewed,"50S ribosomal protein L2, chloroplastic",rpl2,Pisum sativum subsp. sativum,275,,,,
A0A385JEI3,A0A385JEI3_PEA,unreviewed,Photosystem II reaction center protein Z (PSII-Z),psbZ,Pisum sativum subsp. sativum,62,,A0A385JEI3;,,
A0A385JEJ8,A0A385JEJ8_PEA,unreviewed,"ATP synthase subunit b, chloroplastic (ATP synthase F(0) sector subunit b) (ATPase subunit I)",atpF,Pisum sativum subsp. sativum,181,,,,
A0A385JF22,A0A385JF22_PEA,unreviewed,Photosystem II reaction center protein K (PSII-K),psbK,Pisum sativum subsp. sativum,61,,,,
A0A173FE83,A0A173FE83_PEA,unreviewed,Sterile nodes,SN,Pisum sativum subsp. sativum,309,,,,
A0A385JF07,A0A385JF07_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (EC 7.1.1.-) (NADH-plastoquinone oxidoreductase subunit 5)",ndhF,Pisum sativum subsp. sativum,748,,,,
G8YZP6,G8YZP6_PEA,unreviewed,Histone H1 subtype 3,his3,Pisum sativum subsp. sativum,264,,,,
A0A385JEI9,A0A385JEI9_PEA,unreviewed,DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta''),rpoC2,Pisum sativum subsp. sativum,1367,,,,
A0A6M3QIU1,A0A6M3QIU1_PEA,unreviewed,Quinate/shikimate 5-dehydrogenase (Fragment),Skdh,Pisum sativum subsp. sativum,73,,,,
L7P7F0,L7P7F0_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment),rbcL,Pisum sativum subsp. sativum,450,,,,
A0A385JEW4,A0A385JEW4_PEA,unreviewed,DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta') (RNA polymerase subunit beta'),rpoC1,Pisum sativum subsp. sativum,688,,,,
A0A346RVC8,A0A346RVC8_PEA,unreviewed,Cytosolic alanine aminotransferase (Fragment),,Pisum sativum subsp. sativum,74,,,,
A0A336USX1,A0A336USX1_PEA,unreviewed,Putative NADP-dependent malic enzyme (Fragment),,Pisum sativum subsp. sativum,71,,,,
A0A385JEJ4,A0A385JEJ4_PEA,unreviewed,"30S ribosomal protein S11, chloroplastic",rps11,Pisum sativum subsp. sativum,138,,A0A385JEJ4;,,
A0A172S146,A0A172S146_PEA,unreviewed,Late flowering,,Pisum sativum subsp. sativum,173,,,,
A0A385JEG1,A0A385JEG1_PEA,unreviewed,Photosystem II reaction center protein I (PSII-I) (PSII 4.8 kDa protein),psbI,Pisum sativum subsp. sativum,36,,A0A385JEG1;,,
A0A6C6XVY8,A0A6C6XVY8_PEA,unreviewed,Suppressor of more axillary growth2-like 7,SMXL7,Pisum sativum subsp. sativum,1075,,,,
A0A4D6FYC1,A0A4D6FYC1_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A6M3QIM9,A0A6M3QIM9_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A385JEE6,A0A385JEE6_PEA,unreviewed,Photosystem II reaction center protein T (PSII-T),psbT,Pisum sativum subsp. sativum,35,,A0A385JEE6;,,
A0A385JF00,A0A385JF00_PEA,unreviewed,Cytochrome b6-f complex subunit 5 (Cytochrome b6-f complex subunit PetG) (Cytochrome b6-f complex subunit V),petG,Pisum sativum subsp. sativum,37,,,,
A0A385JEX7,A0A385JEX7_PEA,unreviewed,Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214),ycf1 TIC214,Pisum sativum subsp. sativum,1720,,,,
A0A385JEE9,A0A385JEE9_PEA,unreviewed,"30S ribosomal protein S7, chloroplastic",rps7,Pisum sativum subsp. sativum,156,,A0A385JEE9;,,
A0A6G7K4V3,A0A6G7K4V3_PEA,unreviewed,Convicilin (Fragment),CvcA,Pisum sativum subsp. sativum,217,,,,
A0A385JFW0,A0A385JFW0_PEA,unreviewed,Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE,Pisum sativum subsp. sativum,83,,A0A385JFW0;,,
A0A385JFY7,A0A385JFY7_PEA,unreviewed,Cytochrome b6,petB,Pisum sativum subsp. sativum,215,,,,
K7QDN2,K7QDN2_PEA,unreviewed,Early flowering 3/high response,ELF3,Pisum sativum subsp. sativum,702,,,,
A0A4Y6JMC5,A0A4Y6JMC5_PEA,unreviewed,MLO-like protein,MLO1 MLO,Pisum sativum subsp. sativum,573,,,,
G8YZP7,G8YZP7_PEA,unreviewed,Histone H1 subtype 3,his3,Pisum sativum subsp. sativum,264,,,,
A0A385JEY4,A0A385JEY4_PEA,unreviewed,Cytochrome f,petA,Pisum sativum subsp. sativum,320,,,,
A0A6M3QJK5,A0A6M3QJK5_PEA,unreviewed,Sulfate anion transporter (Fragment),SulTr,Pisum sativum subsp. sativum,24,,,,
A0A4D6FX30,A0A4D6FX30_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A385JEH7,A0A385JEH7_PEA,unreviewed,Cytochrome c biogenesis protein CcsA,ccsA,Pisum sativum subsp. sativum,325,,,,
A0A4D6FV78,A0A4D6FV78_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A6M3QIK6,A0A6M3QIK6_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
G8YZN0,G8YZN0_PEA,unreviewed,PsbA peptide (Fragment),psbA,Pisum sativum subsp. sativum,24,,,,
A0A385JEL8,A0A385JEL8_PEA,unreviewed,"50S ribosomal protein L23, chloroplastic",rpl23,Pisum sativum subsp. sativum,98,,,,
A0A385JEE1,A0A385JEE1_PEA,unreviewed,Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC),psaC,Pisum sativum subsp. sativum,81,,A0A385JEE1;,,
A0A385JF26,A0A385JF26_PEA,unreviewed,Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII),petN,Pisum sativum subsp. sativum,29,,A0A385JF26;,,
A0A3G1RRV9,A0A3G1RRV9_PEA,unreviewed,Gibberellin 2-oxidase (Fragment),Sln,Pisum sativum subsp. sativum,154,,,,
B0BCJ6,B0BCJ6_PEA,unreviewed,Cvc protein (Fragment),cvc,Pisum sativum subsp. sativum,572,,,,
A0A172S164,A0A172S164_PEA,unreviewed,Late flowering,,Pisum sativum subsp. sativum,173,,,,
A0A6M3QIM0,A0A6M3QIM0_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A346RVE8,A0A346RVE8_PEA,unreviewed,ADP-glucose pyrophosphorylase large subunit (Fragment),Rb,Pisum sativum subsp. sativum,71,,,,
A0A385JF18,A0A385JF18_PEA,unreviewed,NADH dehydrogenase subunit I,ndhI,Pisum sativum subsp. sativum,166,,,,
A0A6C6XVY7,A0A6C6XVY7_PEA,unreviewed,Suppressor of more axillary growth2-like 6,SMXL6,Pisum sativum subsp. sativum,896,,,,
A0A385JEI2,A0A385JEI2_PEA,unreviewed,"envelope membrane protein, chloroplastic",cemA,Pisum sativum subsp. sativum,231,,,,
A0A385JFU2,A0A385JFU2_PEA,unreviewed,"30S ribosomal protein S12, chloroplastic",rps12,Pisum sativum subsp. sativum,127,,A0A385JFU2;,,
A0A109QYD4,A0A109QYD4_PEA,unreviewed,RMS3,RMS3,Pisum sativum subsp. sativum,267,,,,
A0A385JFY0,A0A385JFY0_PEA,unreviewed,50S ribosomal protein L20,rpl20,Pisum sativum subsp. sativum,138,,,,
A0A385JEI6,A0A385JEI6_PEA,unreviewed,Photosystem I reaction center subunit IX (PSI-J),psaJ,Pisum sativum subsp. sativum,42,,A0A385JEI6;,,
A0A385JED8,A0A385JED8_PEA,unreviewed,DNA-directed RNA polymerase subunit beta (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta) (RNA polymerase subunit beta),rpoB,Pisum sativum subsp. sativum,1070,,,,
A0A385JEH2,A0A385JEH2_PEA,unreviewed,Photosystem II reaction center protein J (PSII-J),psbJ,Pisum sativum subsp. sativum,40,,,,
A0A385JEL0,A0A385JEL0_PEA,unreviewed,Cytochrome b6-f complex subunit 4 (17 kDa polypeptide),petD,Pisum sativum subsp. sativum,177,,,,
A0A385JEH5,A0A385JEH5_PEA,unreviewed,"30S ribosomal protein S15, chloroplastic",rps15,Pisum sativum subsp. sativum,86,,,,
A0A385JEJ5,A0A385JEJ5_PEA,unreviewed,Cytochrome b6-f complex subunit 6 (Cytochrome b6-f complex subunit PetL) (Cytochrome b6-f complex subunit VI),petL,Pisum sativum subsp. sativum,31,,,,
A0A385JEJ2,A0A385JEJ2_PEA,unreviewed,Cytochrome b559 subunit beta (PSII reaction center subunit VI),psbF,Pisum sativum subsp. sativum,39,,A0A385JEJ2;,,
A0A0Y0QF11,A0A0Y0QF11_PEA,unreviewed,RMS3,RMS3,Pisum sativum subsp. sativum,267,,,,
A0A385JEH9,A0A385JEH9_PEA,unreviewed,"30S ribosomal protein S19, chloroplastic",rps19,Pisum sativum subsp. sativum,92,,,,
A0A385JED9,A0A385JED9_PEA,unreviewed,"30S ribosomal protein S4, chloroplastic",rps4,Pisum sativum subsp. sativum,197,,,,
A0A385JF04,A0A385JF04_PEA,unreviewed,"50S ribosomal protein L36, chloroplastic",rpl36,Pisum sativum subsp. sativum,37,,A0A385JF04;,,
A0A6M3QJ80,A0A6M3QJ80_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A6M3QIY7,A0A6M3QIY7_PEA,unreviewed,Mlo family protein (Fragment),Er1,Pisum sativum subsp. sativum,140,,,,
A0A385JEZ4,A0A385JEZ4_PEA,unreviewed,"30S ribosomal protein S2, chloroplastic",rps2,Pisum sativum subsp. sativum,236,,A0A385JEZ4;,,
A0A385JEX6,A0A385JEX6_PEA,unreviewed,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47),psbB,Pisum sativum subsp. sativum,508,,,,
A0A385JEZ1,A0A385JEZ1_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit J) (NADH-plastoquinone oxidoreductase subunit J)",ndhJ,Pisum sativum subsp. sativum,158,,,,
G8YZL4,G8YZL4_PEA,unreviewed,Histone H1 subtype 5,his5,Pisum sativum subsp. sativum,256,,,,
A0A4D6FVC3,A0A4D6FVC3_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A6M3QVZ9,A0A6M3QVZ9_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A6B7K7N5,A0A6B7K7N5_PEA,unreviewed,Suppressor of more axillary growth2-like 8,SMXL8,Pisum sativum subsp. sativum,1079,,,,
A0A2Z2CPA1,A0A2Z2CPA1_PEA,unreviewed,Putative NADP-dependent malic enzyme (Fragment),,Pisum sativum subsp. sativum,60,,,,
S6D0J7,S6D0J7_PEA,unreviewed,His7 protein,his7,Pisum sativum subsp. sativum,186,,,,
A0A4D6FV92,A0A4D6FV92_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. sativum,272,,,,
A0A385JEK2,A0A385JEK2_PEA,unreviewed,"30S ribosomal protein S8, chloroplastic",rps8,Pisum sativum subsp. sativum,134,,,,
A0A109QYD5,A0A109QYD5_PEA,unreviewed,Truncated RMS3,RMS3,Pisum sativum subsp. sativum,124,,,,
A0A6M3QKZ8,A0A6M3QKZ8_PEA,unreviewed,Ferric chelate reductase (Fragment),Fro,Pisum sativum subsp. sativum,176,,,,
A0A385JEG6,A0A385JEG6_PEA,unreviewed,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),clpP,Pisum sativum subsp. sativum,199,,,,
A0A385JEK5,A0A385JEK5_PEA,unreviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum subsp. sativum,110,,A0A385JEK5;,,
A0A385JEB5,A0A385JEB5_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit K) (NADH-plastoquinone oxidoreductase subunit K)",ndhK,Pisum sativum subsp. sativum,227,,A0A385JEB5;,,
K7QD11,K7QD11_PEA,unreviewed,Early flowering 3/high response,ELF3,Pisum sativum subsp. sativum,85,,,,
A0A6M3QLI2,A0A6M3QLI2_PEA,unreviewed,Mlo family protein (Fragment),Er1,Pisum sativum subsp. elatius,141,,,,
A0A385JDL1,A0A385JDL1_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. elatius,1827,,,,
A0A385IUX2,A0A385IUX2_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A2S1CEB8,A0A2S1CEB8_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. elatius,1827,,,,
S6CRT3,S6CRT3_PEA,unreviewed,Histone H1 subtype 7,his7,Pisum sativum subsp. elatius,186,,,,
A0A385JEA8,A0A385JEA8_PEA,unreviewed,Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214),ycf1 TIC214,Pisum sativum subsp. elatius,1722,,,,
A0A385JDP9,A0A385JDP9_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. elatius,1827,,,,
G8YZH0,G8YZH0_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A2S1CE63,A0A2S1CE63_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 1) (NDH subunit 1) (NADH-plastoquinone oxidoreductase subunit 1)",ndhA,Pisum sativum subsp. elatius,363,,,,
A0A2S1CE78,A0A2S1CE78_PEA,unreviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum subsp. elatius,110,,,,
A0A346RVB9,A0A346RVB9_PEA,unreviewed,Purple-podded (Fragment),Pur,Pisum sativum subsp. elatius,159,,,,
A0A3G1RRW1,A0A3G1RRW1_PEA,unreviewed,Gibberellin 2-oxidase (Fragment),Sln,Pisum sativum subsp. elatius,201,,,,
O24253,O24253_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.ela.3,Pisum sativum subsp. elatius,111,,,,
A0A2S1CEN0,A0A2S1CEN0_PEA,unreviewed,"50S ribosomal protein L32, chloroplastic",rpl32,Pisum sativum subsp. elatius,75,,,,
S6D6E9,S6D6E9_PEA,unreviewed,His7 protein,his7,Pisum sativum subsp. elatius,186,,,,
A0A6M3QUM2,A0A6M3QUM2_PEA,unreviewed,Quinate/shikimate 5-dehydrogenase (Fragment),Skdh,Pisum sativum subsp. elatius,73,,,,
A0A2S1CEA6,A0A2S1CEA6_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (EC 7.1.1.-) (NADH-plastoquinone oxidoreductase subunit 5)",ndhF,Pisum sativum subsp. elatius,748,,,,
A0A385JDV3,A0A385JDV3_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, chain 4) (NADH-plastoquinone oxidoreductase chain 4)",ndhD,Pisum sativum subsp. elatius,497,,,,
A0A6M3QUV3,A0A6M3QUV3_PEA,unreviewed,Mlo family protein (Fragment),Er1,Pisum sativum subsp. elatius,141,,,,
A0A385JEA9,A0A385JEA9_PEA,unreviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD,Pisum sativum subsp. elatius,548,,,,
G8YZE9,G8YZE9_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A6M3QL96,A0A6M3QL96_PEA,unreviewed,Quinate/shikimate 5-dehydrogenase (Fragment),Skdh,Pisum sativum subsp. elatius,73,,,,
B0BCJ0,B0BCJ0_PEA,unreviewed,Convicilin (Fragment),cvc,Pisum sativum subsp. elatius,155,,,,
Q40830,Q40830_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.ela.1,Pisum sativum subsp. elatius,94,,,,
A0A385JDN6,A0A385JDN6_PEA,unreviewed,"ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)",atpB,Pisum sativum subsp. elatius,491,,,,
G8YZH3,G8YZH3_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A2S1CE77,A0A2S1CE77_PEA,unreviewed,Cytochrome f,petA,Pisum sativum subsp. elatius,320,,,,
C7C6E5,C7C6E5_PEA,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment),coxI,Pisum sativum subsp. elatius,371,,,,
A0A2S1CEE2,A0A2S1CEE2_PEA,unreviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD,Pisum sativum subsp. elatius,596,,,,
A0A2S1CE64,A0A2S1CE64_PEA,unreviewed,Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214),ycf1 TIC214,Pisum sativum subsp. elatius,1722,,,,
G8YZF4,G8YZF4_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. jomardii,256,,,,
G8YZP3,G8YZP3_PEA,unreviewed,PsbA peptide (Fragment),psbA,Pisum sativum subsp. jomardii,24,,,,
G8YZF5,G8YZF5_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. jomardii,256,,,,
A0A385JDJ5,A0A385JDJ5_PEA,unreviewed,"ATP synthase epsilon chain, chloroplastic (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)",atpE,Pisum sativum subsp. elatius,137,,,,
A0A385JE97,A0A385JE97_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. elatius,1827,,,,
A0A4D6FX03,A0A4D6FX03_PEA,unreviewed,Acetyl-CoA carboxylase beta subunit (Fragment),accD,Pisum sativum subsp. elatius,562,,,,
A0A4D6FUY7,A0A4D6FUY7_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. elatius,272,,,,
A0A4D6FY16,A0A4D6FY16_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. elatius,272,,,,
G8YZF0,G8YZF0_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A385JDY8,A0A385JDY8_PEA,unreviewed,"ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)",atpA,Pisum sativum subsp. elatius,501,,,,
A0A385JEA2,A0A385JEA2_PEA,unreviewed,Cytochrome c biogenesis protein CcsA,ccsA,Pisum sativum subsp. elatius,325,,,,
A0A385JE18,A0A385JE18_PEA,unreviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD,Pisum sativum subsp. elatius,541,,,,
G8YZN1,G8YZN1_PEA,unreviewed,PsbA peptide (Fragment),psbA,Pisum sativum subsp. elatius,23,,,,
A0A2S1CE93,A0A2S1CE93_PEA,unreviewed,Cytochrome b6-f complex subunit 6 (Cytochrome b6-f complex subunit PetL) (Cytochrome b6-f complex subunit VI),petL,Pisum sativum subsp. elatius,31,,,,
A0A2S1CE71,A0A2S1CE71_PEA,unreviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD,Pisum sativum subsp. elatius,529,,,,
A0A2S1CE73,A0A2S1CE73_PEA,unreviewed,"envelope membrane protein, chloroplastic",cemA,Pisum sativum subsp. elatius,231,,,,
A0A4D6FXW7,A0A4D6FXW7_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. elatius,272,,,,
A0A4D6FVT5,A0A4D6FVT5_PEA,unreviewed,Acetyl-CoA carboxylase beta subunit (Fragment),accD,Pisum sativum subsp. elatius,616,,,,
O24254,O24254_PEA,unreviewed,Pathogenesis-related protein PR10 (Fragment),Ypr10.Pi.ela.3,Pisum sativum subsp. elatius,90,,,,
G8YZG0,G8YZG0_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A346RVA8,A0A346RVA8_PEA,unreviewed,Purple-podded (Fragment),Pur,Pisum sativum subsp. elatius,159,,,,
A0A4D6FV52,A0A4D6FV52_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. elatius,272,,,,
A0A2S1CE67,A0A2S1CE67_PEA,unreviewed,Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214),ycf1 TIC214,Pisum sativum subsp. elatius,1720,,,,
A0A6G7K4X0,A0A6G7K4X0_PEA,unreviewed,CCAAT-binding transcription factor (Fragment),,Pisum sativum subsp. elatius,63,,,,
A0A2S1CE99,A0A2S1CE99_PEA,unreviewed,"30S ribosomal protein S3, chloroplastic",rps3,Pisum sativum subsp. elatius,225,,,,
Q7YCA6,Q7YCA6_PEA,unreviewed,NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2),nad3,Pisum sativum subsp. elatius,118,,,,
A0A385IUV4,A0A385IUV4_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
A0A385JDZ7,A0A385JDZ7_PEA,unreviewed,50S ribosomal protein L20,rpl20,Pisum sativum subsp. elatius,138,,,,
S6CRT6,S6CRT6_PEA,unreviewed,His7 protein,his7,Pisum sativum subsp. elatius,186,,,,
A0A6G7K4X8,A0A6G7K4X8_PEA,unreviewed,Convicilin (Fragment),CvcA,Pisum sativum subsp. elatius,217,,,,
Q6UGP3,Q6UGP3_PEA,unreviewed,Sat5 (Fragment),,Pisum sativum subsp. elatius,31,,,,
A0A385JDK5,A0A385JDK5_PEA,unreviewed,"30S ribosomal protein S14, chloroplastic",rps14,Pisum sativum subsp. elatius,100,,,,
A0A385JED6,A0A385JED6_PEA,unreviewed,Protein TIC 214 (Translocon at the inner envelope membrane of chloroplasts 214),ycf1 TIC214,Pisum sativum subsp. elatius,1722,,,,
K7X0W0,K7X0W0_PEA,unreviewed,Maturase K (Intron maturase),matK,Pisum sativum subsp. elatius,506,,,,
A0A4D6FU16,A0A4D6FU16_PEA,unreviewed,Acetyl-CoA carboxylase beta subunit (Fragment),accD,Pisum sativum subsp. elatius,556,,,,
A0A385JDS0,A0A385JDS0_PEA,unreviewed,Maturase K (Intron maturase),matK,Pisum sativum subsp. elatius,506,,,,
A0A4D6FXZ6,A0A4D6FXZ6_PEA,unreviewed,Biotin carboxyl carrier protein (Fragment),bccp,Pisum sativum subsp. elatius,272,,,,
Q7YET9,Q7YET9_PEA,unreviewed,Ribosomal protein S12,rps12,Pisum sativum subsp. elatius,125,,Q7YET9;,,
A0A6G7K4U8,A0A6G7K4U8_PEA,unreviewed,Convicilin (Fragment),CvcA,Pisum sativum subsp. elatius,217,,,,
C7C6E6,C7C6E6_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39) (Fragment),rbcl,Pisum sativum subsp. elatius,259,,,,
S6CXX0,S6CXX0_PEA,unreviewed,His7 protein,his7,Pisum sativum subsp. elatius,186,,,,
A0A385JDW0,A0A385JDW0_PEA,unreviewed,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)",accD,Pisum sativum subsp. elatius,489,,,,
A0A2S1CDY4,A0A2S1CDY4_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit 2) (NADH-plastoquinone oxidoreductase subunit 2)",ndhB,Pisum sativum subsp. elatius,492,,,,
A0A385JDN1,A0A385JDN1_PEA,unreviewed,Cytochrome f,petA,Pisum sativum subsp. elatius,320,,,,
G8YZE3,G8YZE3_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,256,,,,
B0BCJ8,B0BCJ8_PEA,unreviewed,Cvc protein (Fragment),cvc,Pisum sativum subsp. elatius,527,,,,
G8YZI2,G8YZI2_PEA,unreviewed,Histone H1 subtype 5,His5,Pisum sativum subsp. elatius,266,,,,
S6D6D8,S6D6D8_PEA,unreviewed,His7 protein,his7,Pisum sativum subsp. elatius,186,,,,
A0A385JDL4,A0A385JDL4_PEA,unreviewed,"30S ribosomal protein S15, chloroplastic",rps15,Pisum sativum subsp. elatius,88,,,,
A0A2S1CE54,A0A2S1CE54_PEA,unreviewed,Protein Ycf2,ycf2,Pisum sativum subsp. elatius,1827,,,,
